//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                 Stats
---------------------------  ----------------------
Benchmark                                     nw_cl
BenchmarkArgs                                992 10
DateTime                      Fri Jun 2017 10:15:09
ExeSuccessful                                   Yes
CheckPoint                                       No
TotalCycles                               486972163
ParallelSectionCycles                     419166606
CPURunTime(sec)                         0.121743041
WallRunTime(sec)                            2708.35
SimulatedCyclesPerSec(ave)                179803.83
CPUNumCores                                       4
CPUThreadsPerCore                                 1
CPUFreqGhz                                        4
GPUNumCUs                                        16
GPUFreqGhz                                        1
GPUCycFactor                                      4
MemLatFactor                                      2
ConfigSingleCore                                Yes
ConfigCPUProtocol                              MESI
ConfigGPUProtocol                                NC
ConfigGPUConnectType                             L3

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined          CPU
-------------------  ----------
ExeTime               419166606
TotalBusy                537449
DrainTime                 24838
IdleTime              336524104
TotalStalls            82105053
StallFetch                83364
ROBStalls               7509269
ROBStallLoad             128272
ROBStallStore           7378600
ROBStallOther              2397
LSQStalls                     0
LSQStallLoad                  0
LSQStallStore                 0
IQStalls                      0
RenameStalls                  0
NumSyscalls                 987
StallSyscall           74512420

CPU Stats All Cores       Core_0
--------------------  ----------
ExeTime                419166606
TotalBusy                 537449
DrainTime                  24838
IdleTime               336524104
TotalStalls             82105053
StallFetch                 83364
ROBStalls                7509269
ROBStallLoad              128272
ROBStallStore            7378600
ROBStallOther               2397
LSQStalls                      0
LSQStallLoad                   0
LSQStallStore                  0
IQStalls                       0
RenameStalls                   0
NumSyscalls                  987
StallSyscall            74512420

//GPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

GPU stats            GPU
------------  ----------
ExeTime        419166812
GPURunTime     338747376
GPUIdleTime     80419436

//CUU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CU stats                CU
--------------  ----------
TotalBusy        262676469
TotalStalls       47514744
TotalMapped      310191213
TotalUnMapped     28556162

//Cache Stats//////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                  I$                D$               L2$               L3$
---------------------  ----------------- ----------------- ----------------- -----------------
CacheUtilization                    0.06              0.12              0.08              0.02
Occupancy                          73920          16780111           7384533           2201498
OccupancyPct                       0.000             0.040             0.018             0.005

Cache stats individual         I_0
-----------------------  ---------
CacheUtilization             0.461
Occupancy                    73920
OccupancyPct                 0.000

Cache stats individual         D_0
-----------------------  ---------
CacheUtilization             1.000
Occupancy                 16780111
OccupancyPct                 0.040

Cache stats individual        L2_0
-----------------------  ---------
CacheUtilization             0.605
Occupancy                  7384533
OccupancyPct                 0.018

Cache stats individual        L3_0
-----------------------  ---------
CacheUtilization             0.190
Occupancy                  2201498
OccupancyPct                 0.005


//Cache IO Stats///////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                     I$                D$               L2$               L3$
------------------------  ----------------- ----------------- ----------------- -----------------
IOUpOccupancy                             0                 0           3897271           3772338
IOUpOccupancyPct                      0.000             0.000             0.009             0.009
IODownOccupancy                        2145           6495038           8638183                 0
IOdownOccupancyPct                    0.000             0.015             0.021             0.000

Cache IO stats individual         I_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy                  2145
IOdownOccupancyPct              0.000

Cache IO stats individual         D_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy               6495038
IOdownOccupancyPct              0.015

Cache IO stats individual        L2_0
--------------------------  ---------
IOUpOccupancy                 3897271
IOUpOccupancyPct                0.009
IODownOccupancy               8638183
IOdownOccupancyPct              0.021

Cache IO stats individual        L3_0
--------------------------  ---------
IOUpOccupancy                 3772338
IOUpOccupancyPct                0.009
IODownOccupancy                     0
IOdownOccupancyPct              0.000


//Switch Stats/////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch stats combined                 SW
----------------------  ----------------
Occupancy                       13982150
OccupancyPct                       0.033

Switch stats individual         S_0       S_1
------------------------  --------- ---------
Occupancy                  19006080   8958220
OccupancyPct                  0.045     0.021

//Switch IO Stats//////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch IO stats combined                  SW
-------------------------  -----------------
IONorthOccupancy                     3661458
IONorthOccupancyPct                    0.009
IOEastOccupancy                      2992334
IOEastOccupancyPct                     0.007
IOSouthOccupancy                     3625684
IOSouthOccupancyPct                    0.009
IOWestOccupancy                      5797820
IOWestOccupancyPct                     0.014

Switch IO stats individual         S_0       S_1
---------------------------  --------- ---------
IONorthOccupancy               7322916         0
IONorthOccupancyPct              0.017     0.000
IOEastOccupancy                4599312   1385356
IOEastOccupancyPct               0.011     0.003
IOSouthOccupancy               3804038   3447330
IOSouthOccupancyPct              0.009     0.008
IOWestOccupancy                6255118   5340522
IOWestOccupancyPct               0.015     0.013

//System Agent Stats///////////////////////////////////////////
///////////////////////////////////////////////////////////////

System agent stats          SA
-------------------  ---------
Occupancy              5244444
OccupancyPct             0.013
IOUpOccupancy          7045830
IOUpOccupancyPct         0.017
IODownOccupancy        5242728
IODownOccupancyPct       0.013

//Memory Ctrl Stats////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Memory ctrl stats          MC
------------------  ---------
Occupancy             3031992
OccupancyPct            0.007
IOUpOccupancy         7045830
IOUpOccupancyPct        0.017

