//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                 Stats
---------------------------  ----------------------
Benchmark                                     nw_cl
BenchmarkArgs                                992 10
DateTime                      Fri Jun 2017 10:14:36
ExeSuccessful                                   Yes
CheckPoint                                       No
TotalCycles                               370893704
ParallelSectionCycles                     303088147
CPURunTime(sec)                         0.092723426
WallRunTime(sec)                            2101.77
SimulatedCyclesPerSec(ave)                176467.06
CPUNumCores                                       4
CPUThreadsPerCore                                 1
CPUFreqGhz                                        4
GPUNumCUs                                         8
GPUFreqGhz                                        1
GPUCycFactor                                      4
MemLatFactor                                      2
ConfigSingleCore                                Yes
ConfigCPUProtocol                              MESI
ConfigGPUProtocol                              MESI
ConfigGPUConnectType                             L3

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined          CPU
-------------------  ----------
ExeTime               303088147
TotalBusy                526295
DrainTime                 13496
IdleTime              288664701
TotalStalls            13897151
StallFetch                60836
ROBStalls               7913328
ROBStallLoad              96671
ROBStallStore           7814126
ROBStallOther              2531
LSQStalls                     0
LSQStallLoad                  0
LSQStallStore                 0
IQStalls                      0
RenameStalls                  0
NumSyscalls                 987
StallSyscall            5922987

CPU Stats All Cores       Core_0
--------------------  ----------
ExeTime                303088147
TotalBusy                 526295
DrainTime                  13496
IdleTime               288664701
TotalStalls             13897151
StallFetch                 60836
ROBStalls                7913328
ROBStallLoad               96671
ROBStallStore            7814126
ROBStallOther               2531
LSQStalls                      0
LSQStallLoad                   0
LSQStallStore                  0
IQStalls                       0
RenameStalls                   0
NumSyscalls                  987
StallSyscall             5922987

//GPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

GPU stats            GPU
------------  ----------
ExeTime        303088345
GPURunTime     290888556
GPUIdleTime     12199789

//CUU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CU stats                CU
--------------  ----------
TotalBusy        142284061
TotalStalls      131815025
TotalMapped      274099087
TotalUnMapped     16789469

//Cache Stats//////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                   I$                 D$                L2$                L3$
---------------------  ------------------ ------------------ ------------------ ------------------
CacheUtilization                     0.06               0.12               0.07               0.02
Occupancy                           73916             822375             176388             248304
OccupancyPct                        0.000              0.003              0.001              0.001

Cache stats individual         I_0
-----------------------  ---------
CacheUtilization             0.461
Occupancy                    73916
OccupancyPct                 0.000

Cache stats individual         D_0
-----------------------  ---------
CacheUtilization             1.000
Occupancy                   822375
OccupancyPct                 0.003

Cache stats individual        L2_0
-----------------------  ---------
CacheUtilization             0.578
Occupancy                   176388
OccupancyPct                 0.001

Cache stats individual        L3_0
-----------------------  ---------
CacheUtilization             0.135
Occupancy                   248304
OccupancyPct                 0.001


//Cache IO Stats///////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                      I$                 D$                L2$                L3$
------------------------  ------------------ ------------------ ------------------ ------------------
IOUpOccupancy                              0                  0             196609             564536
IOUpOccupancyPct                       0.000              0.000              0.001              0.002
IODownOccupancy                         2217             196516             316648                  0
IOdownOccupancyPct                     0.000              0.001              0.001              0.000

Cache IO stats individual         I_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy                  2217
IOdownOccupancyPct              0.000

Cache IO stats individual         D_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy                196516
IOdownOccupancyPct              0.001

Cache IO stats individual        L2_0
--------------------------  ---------
IOUpOccupancy                  196609
IOUpOccupancyPct                0.001
IODownOccupancy                316648
IOdownOccupancyPct              0.001

Cache IO stats individual        L3_0
--------------------------  ---------
IOUpOccupancy                  564536
IOUpOccupancyPct                0.002
IODownOccupancy                     0
IOdownOccupancyPct              0.000


//Switch Stats/////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch stats combined                  SW
----------------------  -----------------
Occupancy                         1224882
OccupancyPct                        0.004

Switch stats individual         S_0       S_1
------------------------  --------- ---------
Occupancy                   1635936    813828
OccupancyPct                  0.005     0.003

//Switch IO Stats//////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch IO stats combined                  SW
-------------------------  -----------------
IONorthOccupancy                      152916
IONorthOccupancyPct                    0.001
IOEastOccupancy                       541231
IOEastOccupancyPct                     0.002
IOSouthOccupancy                      588625
IOSouthOccupancyPct                    0.002
IOWestOccupancy                       448958
IOWestOccupancyPct                     0.001

Switch IO stats individual         S_0       S_1
---------------------------  --------- ---------
IONorthOccupancy                305832         0
IONorthOccupancyPct              0.001     0.000
IOEastOccupancy                 645746    436716
IOEastOccupancyPct               0.002     0.001
IOSouthOccupancy                610566    566684
IOSouthOccupancyPct              0.002     0.002
IOWestOccupancy                 656006    241910
IOWestOccupancyPct               0.002     0.001

//System Agent Stats///////////////////////////////////////////
///////////////////////////////////////////////////////////////

System agent stats          SA
-------------------  ---------
Occupancy               247932
OccupancyPct             0.001
IOUpOccupancy           396558
IOUpOccupancyPct         0.001
IODownOccupancy         363688
IODownOccupancyPct       0.001

//Memory Ctrl Stats////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Memory ctrl stats          MC
------------------  ---------
Occupancy              169584
OccupancyPct            0.001
IOUpOccupancy          396558
IOUpOccupancyPct        0.001

