//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                 Stats
---------------------------  ----------------------
Benchmark                                     nw_cl
BenchmarkArgs                                992 10
DateTime                      Fri Jun 2017 10:14:13
ExeSuccessful                                   Yes
CheckPoint                                       No
TotalCycles                               439437216
ParallelSectionCycles                     371631659
CPURunTime(sec)                         0.109859304
WallRunTime(sec)                            2335.33
SimulatedCyclesPerSec(ave)                188169.47
CPUNumCores                                       4
CPUThreadsPerCore                                 1
CPUFreqGhz                                        4
GPUNumCUs                                         8
GPUFreqGhz                                        1
GPUCycFactor                                      4
MemLatFactor                                      2
ConfigSingleCore                                Yes
ConfigCPUProtocol                              MESI
ConfigGPUProtocol                                NC
ConfigGPUConnectType                             MC

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined          CPU
-------------------  ----------
ExeTime               371631659
TotalBusy                538070
DrainTime                 25495
IdleTime              288779185
TotalStalls            82314404
StallFetch                81594
ROBStalls               7441215
ROBStallLoad             119473
ROBStallStore           7319344
ROBStallOther              2398
LSQStalls                     0
LSQStallLoad                  0
LSQStallStore                 0
IQStalls                      0
RenameStalls                  0
NumSyscalls                 987
StallSyscall           74791595

CPU Stats All Cores       Core_0
--------------------  ----------
ExeTime                371631659
TotalBusy                 538070
DrainTime                  25495
IdleTime               288779185
TotalStalls             82314404
StallFetch                 81594
ROBStalls                7441215
ROBStallLoad              119473
ROBStallStore            7319344
ROBStallOther               2398
LSQStalls                      0
LSQStallLoad                   0
LSQStallStore                  0
IQStalls                       0
RenameStalls                   0
NumSyscalls                  987
StallSyscall            74791595

//GPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

GPU stats            GPU
------------  ----------
ExeTime        371631855
GPURunTime     291001996
GPUIdleTime     80629859

//CUU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CU stats                CU
--------------  ----------
TotalBusy        143230500
TotalStalls      131602997
TotalMapped      274833497
TotalUnMapped     16168498

//Cache Stats//////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                   I$                 D$                L2$                L3$
---------------------  ------------------ ------------------ ------------------ ------------------
CacheUtilization                     0.06               0.12               0.08               0.02
Occupancy                           73920           16772203            7384199            2049772
OccupancyPct                        0.000              0.045              0.020              0.006

Cache stats individual         I_0
-----------------------  ---------
CacheUtilization             0.461
Occupancy                    73920
OccupancyPct                 0.000

Cache stats individual         D_0
-----------------------  ---------
CacheUtilization             1.000
Occupancy                 16772203
OccupancyPct                 0.045

Cache stats individual        L2_0
-----------------------  ---------
CacheUtilization             0.605
Occupancy                  7384199
OccupancyPct                 0.020

Cache stats individual        L3_0
-----------------------  ---------
CacheUtilization             0.144
Occupancy                  2049772
OccupancyPct                 0.006


//Cache IO Stats///////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                      I$                 D$                L2$                L3$
------------------------  ------------------ ------------------ ------------------ ------------------
IOUpOccupancy                              0                  0            3897101            3562018
IOUpOccupancyPct                       0.000              0.000              0.010              0.010
IODownOccupancy                         2059            6495242            8639393                  0
IOdownOccupancyPct                     0.000              0.017              0.023              0.000

Cache IO stats individual         I_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy                  2059
IOdownOccupancyPct              0.000

Cache IO stats individual         D_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy               6495242
IOdownOccupancyPct              0.017

Cache IO stats individual        L2_0
--------------------------  ---------
IOUpOccupancy                 3897101
IOUpOccupancyPct                0.010
IODownOccupancy               8639393
IOdownOccupancyPct              0.023

Cache IO stats individual        L3_0
--------------------------  ---------
IOUpOccupancy                 3562018
IOUpOccupancyPct                0.010
IODownOccupancy                     0
IOdownOccupancyPct              0.000


//Switch Stats/////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch stats combined                 SW
----------------------  ----------------
Occupancy                       13558310
OccupancyPct                       0.036

Switch stats individual         S_0       S_1
------------------------  --------- ---------
Occupancy                  18551844   8564776
OccupancyPct                  0.050     0.023

//Switch IO Stats//////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch IO stats combined                  SW
-------------------------  -----------------
IONorthOccupancy                     3661013
IONorthOccupancyPct                    0.010
IOEastOccupancy                      2827708
IOEastOccupancyPct                     0.008
IOSouthOccupancy                     3401580
IOSouthOccupancyPct                    0.009
IOWestOccupancy                      5698333
IOWestOccupancyPct                     0.015

Switch IO stats individual         S_0       S_1
---------------------------  --------- ---------
IONorthOccupancy               7322026         0
IONorthOccupancyPct              0.020     0.000
IOEastOccupancy                4401038   1254378
IOEastOccupancyPct               0.012     0.003
IOSouthOccupancy               3554384   3248776
IOSouthOccupancyPct              0.010     0.009
IOWestOccupancy                6089906   5306760
IOWestOccupancyPct               0.016     0.014

//System Agent Stats///////////////////////////////////////////
///////////////////////////////////////////////////////////////

System agent stats          SA
-------------------  ---------
Occupancy              5760434
OccupancyPct             0.015
IOUpOccupancy          8059698
IOUpOccupancyPct         0.022
IODownOccupancy        5659092
IODownOccupancyPct       0.015

//Memory Ctrl Stats////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Memory ctrl stats          MC
------------------  ---------
Occupancy             3308134
OccupancyPct            0.009
IOUpOccupancy         8059698
IOUpOccupancyPct        0.022

