//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                                                                                                                                                                                                      Stats
---------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                                                     hotspot_cl
BenchmarkArgs                 512 2 1 /home/stardica/Dropbox/CDA7919DoctoralResearch/Rodinia_Benchmarks/data/hotspot/temp_512 /home/stardica/Dropbox/CDA7919DoctoralResearch/Rodinia_Benchmarks/data/hotspot/power_512 hotspot_output_cl
DateTime                                                                                                                                                                                                           Sun Nov 2016 20:55:39
ExeSuccessful                                                                                                                                                                                                                        Yes
CheckPoint                                                                                                                                                                                                                           Yes
TotalCycles                                                                                                                                                                                                                     11926136
ParallelSectionCycles                                                                                                                                                                                                            6811759
CPURunTime(sec)                                                                                                                                                                                                              0.002981534
WallRunTime(sec)                                                                                                                                                                                                                   69.98
SimulatedCyclesPerSec(ave)                                                                                                                                                                                                     170425.58
CPUNumCores                                                                                                                                                                                                                            8
CPUThreadsPerCore                                                                                                                                                                                                                      1
CPUFreqGhz                                                                                                                                                                                                                             4
GPUNumCUs                                                                                                                                                                                                                              8
GPUFreqGhz                                                                                                                                                                                                                             1
GPUCycFactor                                                                                                                                                                                                                           4
MemLatFactor                                                                                                                                                                                                                           2
ConfigSingleCore                                                                                                                                                                                                                     Yes
ConfigCPUProtocol                                                                                                                                                                                                                   MESI
ConfigGPUProtocol                                                                                                                                                                                                                   MESI
ConfigGPUConnectType                                                                                                                                                                                                                  MC

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined        CPU
-------------------  --------
ExeTime               6811759
TotalBusy               33035
DrainTime               14307
IdleTime              4924715
TotalStalls           1854009
StallFetch              64126
ROBStalls               79487
ROBStallLoad             7032
ROBStallStore           72266
ROBStallOther             189
LSQStalls                   0
LSQStallLoad                0
LSQStallStore               0
IQStalls                    0
RenameStalls                0
NumSyscalls                52
StallSyscall          1710396

CPU Stats All Cores     Core_0
--------------------  --------
ExeTime                6811759
TotalBusy                33035
DrainTime                14307
IdleTime               4924715
TotalStalls            1854009
StallFetch               64126
ROBStalls                79487
ROBStallLoad              7032
ROBStallStore            72266
ROBStallOther              189
LSQStalls                    0
