//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                                                                                                                                                                                                      Stats
---------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                                                     hotspot_cl
BenchmarkArgs                 512 2 1 /home/stardica/Dropbox/CDA7919DoctoralResearch/Rodinia_Benchmarks/data/hotspot/temp_512 /home/stardica/Dropbox/CDA7919DoctoralResearch/Rodinia_Benchmarks/data/hotspot/power_512 hotspot_output_cl
DateTime                                                                                                                                                                                                           Mon Nov 2016 16:07:33
ExeSuccessful                                                                                                                                                                                                                        Yes
CheckPoint                                                                                                                                                                                                                           Yes
TotalCycles                                                                                                                                                                                                                     11059142
ParallelSectionCycles                                                                                                                                                                                                            5945505
CPURunTime(sec)                                                                                                                                                                                                              0.002764785
WallRunTime(sec)                                                                                                                                                                                                                  494.61
SimulatedCyclesPerSec(ave)                                                                                                                                                                                                      22359.52
CPUNumCores                                                                                                                                                                                                                            8
CPUThreadsPerCore                                                                                                                                                                                                                      1
CPUFreqGhz                                                                                                                                                                                                                             4
GPUNumCUs                                                                                                                                                                                                                             16
GPUFreqGhz                                                                                                                                                                                                                             1
GPUCycFactor                                                                                                                                                                                                                           4
MemLatFactor                                                                                                                                                                                                                           2
ConfigSingleCore                                                                                                                                                                                                                     Yes
ConfigCPUProtocol                                                                                                                                                                                                                   MESI
ConfigGPUProtocol                                                                                                                                                                                                                   MESI
ConfigGPUConnectType                                                                                                                                                                                                                  MC

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined        CPU
-------------------  --------
ExeTime               5945505
TotalBusy               33205
DrainTime               13738
IdleTime              4046647
TotalStalls           1865653
StallFetch              64988
ROBStalls               79769
ROBStallLoad             6983
ROBStallStore           72591
ROBStallOther             195
LSQStalls                   0
LSQStallLoad                0
LSQStallStore               0
IQStalls                    0
RenameStalls                0
NumSyscalls                52
StallSyscall          1720896

CPU Stats All Cores     Core_0
--------------------  --------
ExeTime                5945505
TotalBusy                33205
DrainTime                13738
IdleTime               4046647
TotalStalls            1865653
StallFetch               64988
ROBStalls                79769
ROBStallLoad              6983
ROBStallStore            72591
ROBStallOther              195
LSQStalls                    0
