//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                                                                                                                                                                                                      Stats
---------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                                                     hotspot_cl
BenchmarkArgs                 512 2 1 /home/stardica/Dropbox/CDA7919DoctoralResearch/Rodinia_Benchmarks/data/hotspot/temp_512 /home/stardica/Dropbox/CDA7919DoctoralResearch/Rodinia_Benchmarks/data/hotspot/power_512 hotspot_output_cl
DateTime                                                                                                                                                                                                           Mon Nov 2016 20:28:49
ExeSuccessful                                                                                                                                                                                                                        Yes
CheckPoint                                                                                                                                                                                                                           Yes
TotalCycles                                                                                                                                                                                                                     10042012
ParallelSectionCycles                                                                                                                                                                                                            4923872
CPURunTime(sec)                                                                                                                                                                                                              0.002510503
WallRunTime(sec)                                                                                                                                                                                                                  127.08
SimulatedCyclesPerSec(ave)                                                                                                                                                                                                      79018.80
CPUNumCores                                                                                                                                                                                                                            8
CPUThreadsPerCore                                                                                                                                                                                                                      1
CPUFreqGhz                                                                                                                                                                                                                             4
GPUNumCUs                                                                                                                                                                                                                             32
GPUFreqGhz                                                                                                                                                                                                                             1
GPUCycFactor                                                                                                                                                                                                                           4
MemLatFactor                                                                                                                                                                                                                           2
ConfigSingleCore                                                                                                                                                                                                                     Yes
ConfigCPUProtocol                                                                                                                                                                                                                   MESI
ConfigGPUProtocol                                                                                                                                                                                                                   MESI
ConfigGPUConnectType                                                                                                                                                                                                                  L3

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined        CPU
-------------------  --------
ExeTime               4923872
TotalBusy               43277
DrainTime               24335
IdleTime              4381783
TotalStalls            498812
StallFetch              88411
ROBStalls               98349
ROBStallLoad            19724
ROBStallStore           78424
ROBStallOther             201
LSQStalls                   0
LSQStallLoad                0
LSQStallStore               0
IQStalls                    0
RenameStalls                0
NumSyscalls                52
StallSyscall           312052

CPU Stats All Cores     Core_0
--------------------  --------
ExeTime                4923872
TotalBusy                43277
DrainTime                24335
IdleTime               4381783
TotalStalls             498812
StallFetch               88411
ROBStalls                98349
ROBStallLoad             19724
ROBStallStore            78424
ROBStallOther              201
LSQStalls                    0
