//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                                                                                                                                                                                                      Stats
---------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                                                     hotspot_cl
BenchmarkArgs                 512 2 1 /home/stardica/Dropbox/CDA7919DoctoralResearch/Rodinia_Benchmarks/data/hotspot/temp_512 /home/stardica/Dropbox/CDA7919DoctoralResearch/Rodinia_Benchmarks/data/hotspot/power_512 hotspot_output_cl
DateTime                                                                                                                                                                                                           Mon Nov 2016 20:28:35
ExeSuccessful                                                                                                                                                                                                                        Yes
CheckPoint                                                                                                                                                                                                                           Yes
TotalCycles                                                                                                                                                                                                                     72353158
ParallelSectionCycles                                                                                                                                                                                                           67233479
CPURunTime(sec)                                                                                                                                                                                                              0.018088290
WallRunTime(sec)                                                                                                                                                                                                                  357.71
SimulatedCyclesPerSec(ave)                                                                                                                                                                                                     202267.68
CPUNumCores                                                                                                                                                                                                                            8
CPUThreadsPerCore                                                                                                                                                                                                                      1
CPUFreqGhz                                                                                                                                                                                                                             4
GPUNumCUs                                                                                                                                                                                                                             32
GPUFreqGhz                                                                                                                                                                                                                             1
GPUCycFactor                                                                                                                                                                                                                           4
MemLatFactor                                                                                                                                                                                                                           2
ConfigSingleCore                                                                                                                                                                                                                     Yes
ConfigCPUProtocol                                                                                                                                                                                                                   MESI
ConfigGPUProtocol                                                                                                                                                                                                                     NC
ConfigGPUConnectType                                                                                                                                                                                                                  L3

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined         CPU
-------------------  ---------
ExeTime               67233481
TotalBusy                63748
DrainTime                44914
IdleTime               4192137
TotalStalls           62977596
StallFetch              117141
ROBStalls               129500
ROBStallLoad             48593
ROBStallStore            80762
ROBStallOther              145
LSQStalls                    0
LSQStallLoad                 0
LSQStallStore                0
IQStalls                     0
RenameStalls                 0
NumSyscalls                 52
StallSyscall          62730955

CPU Stats All Cores      Core_0
--------------------  ---------
ExeTime                67233481
TotalBusy                 63748
DrainTime                 44914
IdleTime                4192137
TotalStalls            62977596
StallFetch               117141
ROBStalls                129500
ROBStallLoad              48593
ROBStallStore             80762
ROBStallOther               145
