//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                                                                                                                                                                                                      Stats
---------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                                                                                                                     hotspot_cl
BenchmarkArgs                 512 2 1 /home/stardica/Dropbox/CDA7919DoctoralResearch/Rodinia_Benchmarks/data/hotspot/temp_512 /home/stardica/Dropbox/CDA7919DoctoralResearch/Rodinia_Benchmarks/data/hotspot/power_512 hotspot_output_cl
DateTime                                                                                                                                                                                                           Mon Nov 2016 20:28:25
ExeSuccessful                                                                                                                                                                                                                        Yes
CheckPoint                                                                                                                                                                                                                           Yes
TotalCycles                                                                                                                                                                                                                     72454278
ParallelSectionCycles                                                                                                                                                                                                           67335436
CPURunTime(sec)                                                                                                                                                                                                              0.018113569
WallRunTime(sec)                                                                                                                                                                                                                  359.60
SimulatedCyclesPerSec(ave)                                                                                                                                                                                                     201485.57
CPUNumCores                                                                                                                                                                                                                            8
CPUThreadsPerCore                                                                                                                                                                                                                      1
CPUFreqGhz                                                                                                                                                                                                                             4
GPUNumCUs                                                                                                                                                                                                                             32
GPUFreqGhz                                                                                                                                                                                                                             1
GPUCycFactor                                                                                                                                                                                                                           4
MemLatFactor                                                                                                                                                                                                                           2
ConfigSingleCore                                                                                                                                                                                                                     Yes
ConfigCPUProtocol                                                                                                                                                                                                                   MESI
ConfigGPUProtocol                                                                                                                                                                                                                     NC
ConfigGPUConnectType                                                                                                                                                                                                                  MC

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined         CPU
-------------------  ---------
ExeTime               67335439
TotalBusy                56749
DrainTime                37882
IdleTime               4485459
TotalStalls           62793231
StallFetch               93795
ROBStalls               115585
ROBStallLoad             38337
ROBStallStore            77080
ROBStallOther              168
LSQStalls                    0
LSQStallLoad                 0
LSQStallStore                0
IQStalls                     0
RenameStalls                 0
NumSyscalls                 52
StallSyscall          62583851

CPU Stats All Cores      Core_0
--------------------  ---------
ExeTime                67335439
TotalBusy                 56749
DrainTime                 37882
IdleTime                4485459
TotalStalls            62793231
StallFetch                93795
ROBStalls                115585
ROBStallLoad              38337
ROBStallStore             77080
ROBStallOther               168
