//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                                                              Stats
---------------------------  -------------------------------------------------------------------
Benchmark                                                                   MatrixMultiplication
BenchmarkArgs                 -x 512 -y 512 -z 512 -q --load MatrixMultiplication_Kernels.cl.bin
DateTime                                                                   Tue Jun 2017 15:38:54
ExeSuccessful                                                                                Yes
CheckPoint                                                                                    No
TotalCycles                                                                            112394702
ParallelSectionCycles                                                                   62659651
CPURunTime(sec)                                                                      0.028098675
WallRunTime(sec)                                                                          488.34
SimulatedCyclesPerSec(ave)                                                             230157.13
CPUNumCores                                                                                    4
CPUThreadsPerCore                                                                              1
CPUFreqGhz                                                                                     4
GPUNumCUs                                                                                     16
GPUFreqGhz                                                                                     1
GPUCycFactor                                                                                   4
MemLatFactor                                                                                   2
ConfigSingleCore                                                                             Yes
ConfigCPUProtocol                                                                           MESI
ConfigGPUProtocol                                                                             NC
ConfigGPUConnectType                                                                          MC

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined         CPU
-------------------  ---------
ExeTime               62659651
TotalBusy                40290
DrainTime                15708
IdleTime              43908755
TotalStalls           18710606
StallFetch               69010
ROBStalls               100427
ROBStallLoad             35578
ROBStallStore            64718
ROBStallOther              131
LSQStalls                    0
LSQStallLoad                 0
LSQStallStore                0
IQStalls                     0
RenameStalls                 0
NumSyscalls                 77
StallSyscall          18541169

CPU Stats All Cores      Core_0
--------------------  ---------
ExeTime                62659651
TotalBusy                 40290
DrainTime                 15708
IdleTime               43908755
TotalStalls            18710606
StallFetch                69010
ROBStalls                100427
ROBStallLoad              35578
ROBStallStore             64718
ROBStallOther               131
LSQStalls                     0
LSQStallLoad                  0
LSQStallStore                 0
IQStalls                      0
RenameStalls                  0
NumSyscalls                  77
StallSyscall           18541169

//GPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

GPU stats           GPU
------------  ---------
ExeTime        62659654
GPURunTime     43924988
GPUIdleTime    18734666

//CUU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CU stats                               CU
------------------------------  ---------
TotalBusy                          472997
TotalStalls                      42038405
TotalMapped                      42511402
TotalUnMapped                     1413585
TotalBranchStalls                       0
TotalScalarStalls                      48
TotalVectorStalls                42038405
TotalSimdStalls                      2957
TotalLdsStalls                          0
TotalLdsScalarStalls                    0
TotalLdsScalarNotVectorStalls          48

//Cache Stats//////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                   I$                 D$                L2$                L3$
---------------------  ------------------ ------------------ ------------------ ------------------
CacheUtilization                     0.05               0.12               0.06               0.02
Occupancy                            6415            4611188            2241596            1003040
OccupancyPct                        0.000              0.074              0.036              0.016

Cache stats individual         I_0
-----------------------  ---------
CacheUtilization             0.365
Occupancy                     6415
OccupancyPct                 0.000

Cache stats individual         D_0
-----------------------  ---------
CacheUtilization             1.000
Occupancy                  4611188
OccupancyPct                 0.074

Cache stats individual        L2_0
-----------------------  ---------
CacheUtilization             0.519
Occupancy                  2241596
OccupancyPct                 0.036

Cache stats individual        L3_0
-----------------------  ---------
CacheUtilization             0.130
Occupancy                  1003040
OccupancyPct                 0.016


//Cache IO Stats///////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                      I$                 D$                L2$                L3$
------------------------  ------------------ ------------------ ------------------ ------------------
IOUpOccupancy                              0                  0             990148            1371942
IOUpOccupancyPct                       0.000              0.000              0.016              0.022
IODownOccupancy                          563            2011252            2523362                  0
IOdownOccupancyPct                     0.000              0.032              0.040              0.000

Cache IO stats individual         I_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy                   563
IOdownOccupancyPct              0.000

Cache IO stats individual         D_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy               2011252
IOdownOccupancyPct              0.032

Cache IO stats individual        L2_0
--------------------------  ---------
IOUpOccupancy                  990148
IOUpOccupancyPct                0.016
IODownOccupancy               2523362
IOdownOccupancyPct              0.040

Cache IO stats individual        L3_0
--------------------------  ---------
IOUpOccupancy                 1371942
IOUpOccupancyPct                0.022
IODownOccupancy                     0
IOdownOccupancyPct              0.000


//Switch Stats/////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch stats combined                 SW
----------------------  ----------------
Occupancy                        3492522
OccupancyPct                       0.056

Switch stats individual         S_0       S_1
------------------------  --------- ---------
Occupancy                   4955268   2029776
OccupancyPct                  0.079     0.032

//Switch IO Stats//////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch IO stats combined                 SW
-------------------------  ----------------
IONorthOccupancy                     933657
IONorthOccupancyPct                   0.015
IOEastOccupancy                      688949
IOEastOccupancyPct                    0.011
IOSouthOccupancy                    1074726
IOSouthOccupancyPct                   0.017
IOWestOccupancy                     1613206
IOWestOccupancyPct                    0.026

Switch IO stats individual         S_0       S_1
---------------------------  --------- ---------
IONorthOccupancy               1867314         0
IONorthOccupancyPct              0.030     0.000
IOEastOccupancy                1066642    311256
