//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                                                              Stats
---------------------------  -------------------------------------------------------------------
Benchmark                                                                   MatrixMultiplication
BenchmarkArgs                 -x 512 -y 512 -z 512 -q --load MatrixMultiplication_Kernels.cl.bin
DateTime                                                                   Tue Jun 2017 16:04:25
ExeSuccessful                                                                                Yes
CheckPoint                                                                                    No
TotalCycles                                                                            178995085
ParallelSectionCycles                                                                  133142364
CPURunTime(sec)                                                                      0.044748771
WallRunTime(sec)                                                                          822.00
SimulatedCyclesPerSec(ave)                                                             217755.33
CPUNumCores                                                                                    4
CPUThreadsPerCore                                                                              1
CPUFreqGhz                                                                                     4
GPUNumCUs                                                                                     16
GPUFreqGhz                                                                                     1
GPUCycFactor                                                                                   4
MemLatFactor                                                                                   2
ConfigSingleCore                                                                             Yes
ConfigCPUProtocol                                                                           MESI
ConfigGPUProtocol                                                                             NC
ConfigGPUConnectType                                                                          MC

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined          CPU
-------------------  ----------
ExeTime               133142364
TotalBusy                 35962
DrainTime                 11126
IdleTime              114381764
TotalStalls            18724638
StallFetch                60802
ROBStalls                 89982
ROBStallLoad              32800
ROBStallStore             57050
ROBStallOther               132
LSQStalls                     0
LSQStallLoad                  0
LSQStallStore                 0
IQStalls                      0
RenameStalls                  0
NumSyscalls                  77
StallSyscall           18573854

CPU Stats All Cores       Core_0
--------------------  ----------
ExeTime                133142364
TotalBusy                  35962
DrainTime                  11126
IdleTime               114381764
TotalStalls             18724638
StallFetch                 60802
ROBStalls                  89982
ROBStallLoad               32800
ROBStallStore              57050
ROBStallOther                132
LSQStalls                      0
LSQStallLoad                   0
LSQStallStore                  0
IQStalls                       0
RenameStalls                   0
NumSyscalls                   77
StallSyscall            18573854

//GPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

GPU stats            GPU
------------  ----------
ExeTime        133142364
GPURunTime     114397824
GPUIdleTime     18744540

//CUU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CU stats                                CU
------------------------------  ----------
TotalBusy                          3948410
TotalStalls                      106456223
TotalMapped                      110404634
TotalUnMapped                      3993189
TotalBranchStalls                        0
TotalScalarStalls                       60
TotalVectorStalls                106456223
TotalSimdStalls                       5713
TotalLdsStalls                           0
TotalLdsScalarStalls                     0
TotalLdsScalarNotVectorStalls           60

//Cache Stats//////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                  I$                D$               L2$               L3$
---------------------  ----------------- ----------------- ----------------- -----------------
CacheUtilization                    0.05              0.12              0.07              0.02
Occupancy                           6420           5741341           3238956            526301
OccupancyPct                       0.000             0.043             0.024             0.004

Cache stats individual         I_0
-----------------------  ---------
CacheUtilization             0.375
Occupancy                     6420
OccupancyPct                 0.000

Cache stats individual         D_0
-----------------------  ---------
CacheUtilization             1.000
Occupancy                  5741341
OccupancyPct                 0.043

Cache stats individual        L2_0
-----------------------  ---------
CacheUtilization             0.522
Occupancy                  3238956
OccupancyPct                 0.024

Cache stats individual        L3_0
-----------------------  ---------
CacheUtilization             0.131
Occupancy                   526301
OccupancyPct                 0.004


//Cache IO Stats///////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                      I$                 D$                L2$                L3$
------------------------  ------------------ ------------------ ------------------ ------------------
IOUpOccupancy                              0                  0             990224             986761
IOUpOccupancyPct                       0.000              0.000              0.007              0.007
IODownOccupancy                          589            3004940            3522648                  0
IOdownOccupancyPct                     0.000              0.023              0.026              0.000

Cache IO stats individual         I_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy                   589
IOdownOccupancyPct              0.000

Cache IO stats individual         D_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy               3004940
IOdownOccupancyPct              0.023

Cache IO stats individual        L2_0
--------------------------  ---------
IOUpOccupancy                  990224
IOUpOccupancyPct                0.007
IODownOccupancy               3522648
IOdownOccupancyPct              0.026

Cache IO stats individual        L3_0
--------------------------  ---------
IOUpOccupancy                  986761
IOUpOccupancyPct                0.007
IODownOccupancy                     0
IOdownOccupancyPct              0.000


//Switch Stats/////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch stats combined                 SW
----------------------  ----------------
Occupancy                        4687402
OccupancyPct                       0.035

Switch stats individual         S_0       S_1
------------------------  --------- ---------
Occupancy                   5785848   3588956
OccupancyPct                  0.043     0.027

//Switch IO Stats//////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch IO stats combined                  SW
-------------------------  -----------------
IONorthOccupancy                      934269
IONorthOccupancyPct                    0.007
IOEastOccupancy                      1499768
IOEastOccupancyPct                     0.011
IOSouthOccupancy                     1588384
IOSouthOccupancyPct                    0.012
IOWestOccupancy                      2958188
IOWestOccupancyPct                     0.022

Switch IO stats individual         S_0       S_1
---------------------------  --------- ---------
IONorthOccupancy               1868538         0
IONorthOccupancyPct              0.014     0.000
