//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                                                              Stats
---------------------------  -------------------------------------------------------------------
Benchmark                                                                   MatrixMultiplication
BenchmarkArgs                 -x 512 -y 512 -z 512 -q --load MatrixMultiplication_Kernels.cl.bin
DateTime                                                                   Tue Jun 2017 13:45:03
ExeSuccessful                                                                                Yes
CheckPoint                                                                                    No
TotalCycles                                                                            122065112
ParallelSectionCycles                                                                   71672865
CPURunTime(sec)                                                                      0.030516278
WallRunTime(sec)                                                                          658.38
SimulatedCyclesPerSec(ave)                                                             185401.06
CPUNumCores                                                                                    4
CPUThreadsPerCore                                                                              1
CPUFreqGhz                                                                                     4
GPUNumCUs                                                                                     32
GPUFreqGhz                                                                                     1
GPUCycFactor                                                                                   4
MemLatFactor                                                                                   2
ConfigSingleCore                                                                             Yes
ConfigCPUProtocol                                                                           MESI
ConfigGPUProtocol                                                                             NC
ConfigGPUConnectType                                                                          MC

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined         CPU
-------------------  ---------
ExeTime               71672865
TotalBusy                41860
DrainTime                17276
IdleTime              52350242
TotalStalls           19280763
StallFetch               74657
ROBStalls               103917
ROBStallLoad             36378
ROBStallStore            67404
ROBStallOther              135
LSQStalls                    0
LSQStallLoad                 0
LSQStallStore                0
IQStalls                     0
RenameStalls                 0
NumSyscalls                 77
StallSyscall          19102189

CPU Stats All Cores      Core_0
--------------------  ---------
ExeTime                71672865
TotalBusy                 41860
DrainTime                 17276
IdleTime               52350242
TotalStalls            19280763
StallFetch                74657
ROBStalls                103917
ROBStallLoad              36378
ROBStallStore             67404
ROBStallOther               135
LSQStalls                     0
LSQStallLoad                  0
LSQStallStore                 0
IQStalls                      0
RenameStalls                  0
NumSyscalls                  77
StallSyscall           19102189

//GPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

GPU stats           GPU
------------  ---------
ExeTime        71672866
GPURunTime     52366572
GPUIdleTime    19306294

//CUU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CU stats                               CU
------------------------------  ---------
TotalBusy                         1399952
TotalStalls                      44934490
TotalMapped                      46334442
TotalUnMapped                     6032130
TotalBranchStalls                       0
TotalScalarStalls                       0
TotalVectorStalls                44934490
TotalSimdStalls                         0
TotalLdsStalls                          0
TotalLdsScalarStalls                    0
TotalLdsScalarNotVectorStalls           0

//Cache Stats//////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                   I$                 D$                L2$                L3$
---------------------  ------------------ ------------------ ------------------ ------------------
CacheUtilization                     0.04               0.12               0.06               0.02
Occupancy                            6439            4619978            2236979             775372
OccupancyPct                        0.000              0.064              0.031              0.011

Cache stats individual         I_0
-----------------------  ---------
CacheUtilization             0.346
Occupancy                     6439
OccupancyPct                 0.000

Cache stats individual         D_0
-----------------------  ---------
CacheUtilization             1.000
Occupancy                  4619978
OccupancyPct                 0.064

Cache stats individual        L2_0
-----------------------  ---------
CacheUtilization             0.519
Occupancy                  2236979
OccupancyPct                 0.031

Cache stats individual        L3_0
-----------------------  ---------
CacheUtilization             0.130
Occupancy                   775372
OccupancyPct                 0.011


//Cache IO Stats///////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                      I$                 D$                L2$                L3$
------------------------  ------------------ ------------------ ------------------ ------------------
IOUpOccupancy                              0                  0             990323            1176316
IOUpOccupancyPct                       0.000              0.000              0.014              0.016
IODownOccupancy                          605            2003489            2519001                  0
IOdownOccupancyPct                     0.000              0.028              0.035              0.000

Cache IO stats individual         I_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy                   605
IOdownOccupancyPct              0.000

Cache IO stats individual         D_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy               2003489
IOdownOccupancyPct              0.028

Cache IO stats individual        L2_0
--------------------------  ---------
IOUpOccupancy                  990323
IOUpOccupancyPct                0.014
IODownOccupancy               2519001
IOdownOccupancyPct              0.035

Cache IO stats individual        L3_0
--------------------------  ---------
IOUpOccupancy                 1176316
IOUpOccupancyPct                0.016
IODownOccupancy                     0
IOdownOccupancyPct              0.000


//Switch Stats/////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch stats combined                 SW
----------------------  ----------------
Occupancy                        3706872
OccupancyPct                       0.052

Switch stats individual         S_0       S_1
------------------------  --------- ---------
Occupancy                   4971036   2442708
OccupancyPct                  0.069     0.034

//Switch IO Stats//////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch IO stats combined                 SW
-------------------------  ----------------
IONorthOccupancy                     935236
IONorthOccupancyPct                   0.013
IOEastOccupancy                      950235
IOEastOccupancyPct                    0.013
IOSouthOccupancy                    1076748
IOSouthOccupancyPct                   0.015
IOWestOccupancy                     1834293
IOWestOccupancyPct                    0.026

Switch IO stats individual         S_0       S_1
---------------------------  --------- ---------
IONorthOccupancy               1870472         0
IONorthOccupancyPct              0.026     0.000
IOEastOccupancy                1414384    486086
