//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                                                              Stats
---------------------------  -------------------------------------------------------------------
Benchmark                                                                   MatrixMultiplication
BenchmarkArgs                 -x 512 -y 512 -z 512 -q --load MatrixMultiplication_Kernels.cl.bin
DateTime                                                                   Tue Jun 2017 14:21:02
ExeSuccessful                                                                                Yes
CheckPoint                                                                                    No
TotalCycles                                                                            119030968
ParallelSectionCycles                                                                   68638721
CPURunTime(sec)                                                                      0.029757742
WallRunTime(sec)                                                                          621.80
SimulatedCyclesPerSec(ave)                                                             191429.01
CPUNumCores                                                                                    4
CPUThreadsPerCore                                                                              1
CPUFreqGhz                                                                                     4
GPUNumCUs                                                                                     32
GPUFreqGhz                                                                                     1
GPUCycFactor                                                                                   4
MemLatFactor                                                                                   2
ConfigSingleCore                                                                             Yes
ConfigCPUProtocol                                                                           MESI
ConfigGPUProtocol                                                                             NC
ConfigGPUConnectType                                                                          MC

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined         CPU
-------------------  ---------
ExeTime               68638721
TotalBusy                41138
DrainTime                16557
IdleTime              49329284
TotalStalls           19268299
StallFetch               74541
ROBStalls               104231
ROBStallLoad             36778
ROBStallStore            67318
ROBStallOther              135
LSQStalls                    0
LSQStallLoad                 0
LSQStallStore                0
IQStalls                     0
RenameStalls                 0
NumSyscalls                 77
StallSyscall          19089527

CPU Stats All Cores      Core_0
--------------------  ---------
ExeTime                68638721
TotalBusy                 41138
DrainTime                 16557
IdleTime               49329284
TotalStalls            19268299
StallFetch                74541
ROBStalls                104231
ROBStallLoad              36778
ROBStallStore             67318
ROBStallOther               135
LSQStalls                     0
LSQStallLoad                  0
LSQStallStore                 0
IQStalls                      0
RenameStalls                  0
NumSyscalls                  77
StallSyscall           19089527

//GPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

GPU stats           GPU
------------  ---------
ExeTime        68638722
GPURunTime     49345320
GPUIdleTime    19293402

//CUU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CU stats                               CU
------------------------------  ---------
TotalBusy                         1557115
TotalStalls                      38504137
TotalMapped                      40061252
TotalUnMapped                     9284067
TotalBranchStalls                       0
TotalScalarStalls                       0
TotalVectorStalls                38504137
TotalSimdStalls                         0
TotalLdsStalls                          0
TotalLdsScalarStalls                    0
TotalLdsScalarNotVectorStalls           0

//Cache Stats//////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                   I$                 D$                L2$                L3$
---------------------  ------------------ ------------------ ------------------ ------------------
CacheUtilization                     0.04               0.12               0.06               0.02
Occupancy                            6437            4623211            2236637             775420
OccupancyPct                        0.000              0.067              0.033              0.011

Cache stats individual         I_0
-----------------------  ---------
CacheUtilization             0.346
Occupancy                     6437
OccupancyPct                 0.000

Cache stats individual         D_0
-----------------------  ---------
CacheUtilization             1.000
Occupancy                  4623211
OccupancyPct                 0.067

Cache stats individual        L2_0
-----------------------  ---------
CacheUtilization             0.519
Occupancy                  2236637
OccupancyPct                 0.033

Cache stats individual        L3_0
-----------------------  ---------
CacheUtilization             0.130
Occupancy                   775420
OccupancyPct                 0.011


//Cache IO Stats///////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                     I$                D$               L2$               L3$
------------------------  ----------------- ----------------- ----------------- -----------------
IOUpOccupancy                             0                 0            990324           1178860
IOUpOccupancyPct                      0.000             0.000             0.014             0.017
IODownOccupancy                         605           2003904           2518445                 0
IOdownOccupancyPct                    0.000             0.029             0.037             0.000

Cache IO stats individual         I_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy                   605
IOdownOccupancyPct              0.000

Cache IO stats individual         D_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy               2003904
IOdownOccupancyPct              0.029

Cache IO stats individual        L2_0
--------------------------  ---------
IOUpOccupancy                  990324
IOUpOccupancyPct                0.014
IODownOccupancy               2518445
IOdownOccupancyPct              0.037

Cache IO stats individual        L3_0
--------------------------  ---------
IOUpOccupancy                 1178860
IOUpOccupancyPct                0.017
IODownOccupancy                     0
IOdownOccupancyPct              0.000


//Switch Stats/////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch stats combined                 SW
----------------------  ----------------
Occupancy                        3711864
OccupancyPct                       0.054

Switch stats individual         S_0       S_1
------------------------  --------- ---------
Occupancy                   4977144   2446584
OccupancyPct                  0.073     0.036

//Switch IO Stats//////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch IO stats combined                 SW
-------------------------  ----------------
IONorthOccupancy                     934606
IONorthOccupancyPct                   0.014
IOEastOccupancy                      949980
IOEastOccupancyPct                    0.014
IOSouthOccupancy                    1076600
IOSouthOccupancyPct                   0.016
IOWestOccupancy                     1838235
IOWestOccupancyPct                    0.027

Switch IO stats individual         S_0       S_1
---------------------------  --------- ---------
IONorthOccupancy               1869212         0
IONorthOccupancyPct              0.027     0.000
IOEastOccupancy                1414032    485928
