//General Stats////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

General Stats                                                                              Stats
---------------------------  -------------------------------------------------------------------
Benchmark                                                                   MatrixMultiplication
BenchmarkArgs                 -x 512 -y 512 -z 512 -q --load MatrixMultiplication_Kernels.cl.bin
DateTime                                                                   Tue Jun 2017 16:38:43
ExeSuccessful                                                                                Yes
CheckPoint                                                                                    No
TotalCycles                                                                             45432714
ParallelSectionCycles                                                                    8854746
CPURunTime(sec)                                                                      0.011358178
WallRunTime(sec)                                                                          209.48
SimulatedCyclesPerSec(ave)                                                             216878.95
CPUNumCores                                                                                    4
CPUThreadsPerCore                                                                              1
CPUFreqGhz                                                                                     4
GPUNumCUs                                                                                     16
GPUFreqGhz                                                                                     1
GPUCycFactor                                                                                   4
MemLatFactor                                                                                   2
ConfigSingleCore                                                                             Yes
ConfigCPUProtocol                                                                           MESI
ConfigGPUProtocol                                                                             NC
ConfigGPUConnectType                                                                          MC

//CPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CPU stats combined        CPU
-------------------  --------
ExeTime               8854746
TotalBusy               31978
DrainTime                7164
IdleTime              1567634
TotalStalls           7255134
StallFetch              18607
ROBStalls               33716
ROBStallLoad            11308
ROBStallStore           22276
ROBStallOther             132
LSQStalls                   0
LSQStallLoad                0
LSQStallStore               0
IQStalls                    0
RenameStalls                0
NumSyscalls                77
StallSyscall          7202811

CPU Stats All Cores     Core_0
--------------------  --------
ExeTime                8854746
TotalBusy                31978
DrainTime                 7164
IdleTime               1567634
TotalStalls            7255134
StallFetch               18607
ROBStalls                33716
ROBStallLoad             11308
ROBStallStore            22276
ROBStallOther              132
LSQStalls                    0
LSQStallLoad                 0
LSQStallStore                0
IQStalls                     0
RenameStalls                 0
NumSyscalls                 77
StallSyscall           7202811

//GPU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

GPU stats          GPU
------------  --------
ExeTime        8854747
GPURunTime     1584956
GPUIdleTime    7269791

//CUU Stats////////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

CU stats                              CU
------------------------------  --------
TotalBusy                        1584956
TotalStalls                            0
TotalMapped                      1584956
TotalUnMapped                          0
TotalBranchStalls                      0
TotalScalarStalls                     60
TotalVectorStalls                      0
TotalSimdStalls                   730560
TotalLdsStalls                         0
TotalLdsScalarStalls                   0
TotalLdsScalarNotVectorStalls         60

//Cache Stats//////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                   I$                 D$                L2$                L3$
---------------------  ------------------ ------------------ ------------------ ------------------
CacheUtilization                     0.04               0.12               0.09               0.02
Occupancy                            6439            4057853            1784588             359272
OccupancyPct                        0.001              0.458              0.202              0.041

Cache stats individual         I_0
-----------------------  ---------
CacheUtilization             0.350
Occupancy                     6439
OccupancyPct                 0.001

Cache stats individual         D_0
-----------------------  ---------
CacheUtilization             1.000
Occupancy                  4057853
OccupancyPct                 0.458

Cache stats individual        L2_0
-----------------------  ---------
CacheUtilization             0.743
Occupancy                  1784588
OccupancyPct                 0.202

Cache stats individual        L3_0
-----------------------  ---------
CacheUtilization             0.130
Occupancy                   359272
OccupancyPct                 0.041


//Cache IO Stats///////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Cache stats combined                      I$                 D$                L2$                L3$
------------------------  ------------------ ------------------ ------------------ ------------------
IOUpOccupancy                              0                  0             197488             156976
IOUpOccupancyPct                       0.000              0.000              0.022              0.018
IODownOccupancy                          563            1158531            1291196                  0
IOdownOccupancyPct                     0.000              0.131              0.146              0.000

Cache IO stats individual         I_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy                   563
IOdownOccupancyPct              0.000

Cache IO stats individual         D_0
--------------------------  ---------
IOUpOccupancy                       0
IOUpOccupancyPct                    0
IODownOccupancy               1158531
IOdownOccupancyPct              0.131

Cache IO stats individual        L2_0
--------------------------  ---------
IOUpOccupancy                  197488
IOUpOccupancyPct                0.022
IODownOccupancy               1291196
IOdownOccupancyPct              0.146

Cache IO stats individual        L3_0
--------------------------  ---------
IOUpOccupancy                  156976
IOUpOccupancyPct                0.018
IODownOccupancy                     0
IOdownOccupancyPct              0.000


//Switch Stats/////////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch stats combined                SW
----------------------  ---------------
Occupancy                       3085542
OccupancyPct                      0.348

Switch stats individual         S_0       S_1
------------------------  --------- ---------
Occupancy                   4256316   1914768
OccupancyPct                  0.481     0.216

//Switch IO Stats//////////////////////////////////////////////
///////////////////////////////////////////////////////////////

Switch IO stats combined                 SW
-------------------------  ----------------
IONorthOccupancy                     142389
IONorthOccupancyPct                   0.016
IOEastOccupancy                      190708
IOEastOccupancyPct                    0.022
IOSouthOccupancy                     159848
IOSouthOccupancyPct                   0.018
IOWestOccupancy                      515565
IOWestOccupancyPct                    0.058

Switch IO stats individual         S_0       S_1
---------------------------  --------- ---------
IONorthOccupancy                284778         0
IONorthOccupancyPct              0.032     0.000
IOEastOccupancy                 270686    110730
IOEastOccupancyPct               0.031     0.013
